feature,importance,std
year,5805.292456849594,280.34308740123834
horsepower,1292.3857534430222,73.25253918835979
age,838.5953197009284,22.05456581626956
make,584.2936799441017,54.25780318797342
mileage,506.0579529895191,43.36132778466138
condition,361.4346380254244,30.25188922220316
model,311.6906837529209,12.326368900488916
engine_cc,108.72470480472,16.088501203853838
season,65.94724348091376,21.635614011535623
seller_type,58.61686290195567,14.455250093228138
title_status,56.31325706189418,21.347909053069504
region,50.07027168183751,19.129511070550564
service_records,42.90111451684922,3.8144929851491858
torque_ft_lbs,37.08178031689212,4.799541563941936
weight_lbs,16.98943437848223,3.5572518854048902
family,14.185662093020966,3.333472821821676
mods_score,8.567740704948022,14.312550825049124
description_score,7.2922007381042135,5.459370498127924
days_on_market,5.818320315679415,5.908924616554061
abs,0.0,0.0
carbon_fiber,0.0,0.0
power_to_weight,-0.3452807946465555,0.8209122242379832
num_photos,-13.869862272124337,4.6513052819157785
